pertime
0.059
0.012
0.021
0.094
0.045
0.509
0.01
0.01
0.015
0.007
0.103
0.011
0.008
0.008
0.026
0.037
0.009
0.013
0.008
0.01
0.007
0.027
0.008
0.009
0.014
0.02
0.008
0.009
0.016
0.043
0.016
0.014
0.04
0.023
0.014
0.008
0.032
0.023
0.008
0.008
0.007
0.015
0.027
0.008
0.008
0.038
0.008
0.008
0.013
0.008
0.008
0.01
0.032
0.01
0.012
0.014
0.008
0.007
0.015
0.02
0.013
0.009
0.015
0.008
0.018
0.009
0.02
0.008
0.008
0.025
0.026
0.02
0.008
0.019
0.016
0.007
0.007
0.013
0.024
0.008
0.007
0.014
0.021
0.013
0.014
0.008
0.008
0.014
0.008
0.008
0.02
0.009
0.022
0.026
0.016
0.02
0.019
0.014
0.014
0.015
0.007
0.026
0.008
0.008
2.325
0.004
0.005
0.006
0.003
0.014
0.005
0.004
0.002
0.003
0.002
0.002
0.002
0.002
0.004
0.004
0.003
0.002
0.004
0.003
0.003
0.002
0.003
0.028
0.004
0.002
0.002
0.003
0.006
0.004
0.004
0.002
0.005
0.002
0.002
0.004
0.004
0.005
0.004
0.003
0.007
0.003
0.006
0.003
0.003
0.004
0.002
0.004
0.002
0.002
0.004
0.002
0.003
0.005
0.003
0.004
0.006
0.004
0.004
0.005
0.002
0.003
0.003
0.003
0.003
0.002
0.015
0.003
0.003
0.004
0.003
0.007
0.004
0.004
0.007
0.002
0.002
0.003
0.003
0.004
0.005
0.007
0.003
0.003
0.002
0.006
0.008
0.01
0.01
0.003
0.006
0.006
0.004
0.004
0.006
0.007
0.002
0.003
0.003
0.003
0.005
0.011
0.006
0.017
1.639
0.003
0.002
0.002
0.002
0.002
0.003
0.003
0.003
0.004
0.005
0.006
0.004
0.003
0.003
0.002
0.002
0.002
0.003
0.007
0.003
0.003
0.005
0.003
0.002
0.002
0.003
0.006
0.003
0.002
0.004
0.007
0.003
0.004
0.004
0.005
0.004
0.003
0.002
0.005
0.003
0.002
0.004
0.002
0.005
0.003
0.003
0.005
0.004
0.002
0.005
0.002
0.006
0.004
0.002
0.004
0.014
