put,del,get
0.000107157,0.000138765,0.00011388
0.000097492,0.000126473,0.00012462
0.000103602,0.0001252,0.000116581
0.000100133,0.000120125,0.000113255
0.000103455,0.000131216,0.000112858
0.000102216,0.000135924,0.000121696
0.000101879,0.000128874,0.000123401
0.000100443,0.000131313,0.000131532
0.00012609,0.000137822,0.000126455
0.000111326,0.000133889,0.000120015
0.000111506,0.000166087,0.000117317
0.000105898,0.000146269,0.000130875
0.00011163,0.000144389,0.000119501
0.000107287,0.000144569,0.000128456
0.000104072,0.000132818,0.000123224
0.000112713,0.000127232,0.000122186
0.000119965,0.00014308,0.000126817
0.000099334,0.000133519,0.000107856
0.0000998915,0.000121124,0.000103845
0.0000971278,0.000127631,0.000107839
0.0000942697,0.00013116,0.000104877
0.0000974375,0.00013043,0.000110219
0.000107069,0.000125899,0.000115721
0.000101425,0.00012494,0.000121267
0.0000976427,0.000124033,0.00011753
0.000108987,0.000133674,0.000119333
0.000107967,0.000120768,0.000117721
0.00014091,0.000130165,0.000116213
0.000113406,0.00013491,0.000112227
0.000121546,0.000139574,0.00011934
0.000110275,0.000131968,0.000116158
0.000113984,0.000143613,0.000123209
0.000119234,0.000135786,0.000110488
0.000106409,0.000134603,0.000114689
0.000103583,0.000124432,0.000110913
0.000100606,0.000127179,0.000111722
0.00010281,0.00013246,0.00011669
0.000107841,0.000130979,0.000107429
0.000102201,0.00012746,0.000115784
0.000101581,0.000117256,0.000105754
0.000102783,0.000130309,0.000105975
0.000103309,0.000129026,0.000104971
0.000116426,0.000132219,0.00010939
0.000110663,0.00012817,0.000118509
0.000121516,0.000138251,0.000118177
0.000116178,0.000126181,0.000123241
0.000113129,0.000135152,0.000117209
0.000110126,0.000128562,0.000105545
0.000101736,0.000140103,0.000120229
0.000112199,0.000118446,0.000106639
0.000109693,0.000129061,0.000120629
0.000104877,0.000125583,0.000117243
0.000110086,0.000121338,0.000120143
0.000110269,0.00013884,0.00011412
0.000106489,0.000123842,0.000117204
0.000114236,0.000140066,0.000127962
0.00012093,0.000119515,0.000115897
0.000116966,0.000117803,0.000131439
0.000129051,0.000138961,0.000134704
0.000127388,0.000165898,0.000132047
0.000125927,0.000137039,0.000121897
0.000110636,0.00011792,0.000112744
0.000104707,0.00012178,0.000126057
0.000116892,0.000132682,0.000124057
0.00012399,0.00013873,0.00012743
0.000131325,0.000126535,0.0001124
0.000121519,0.000148245,0.000124905
0.000117925,0.000122281,0.000112976
0.00011053,0.000142109,0.000111671
0.000109997,0.000119052,0.00010948
0.000126209,0.00012806,0.00012156
0.000107487,0.000129902,0.000109399
0.000105971,0.000120304,0.000103204
0.000103253,0.000138415,0.000110544
0.000114796,0.00012599,0.000117917
0.000114155,0.000143251,0.000113649
0.000111871,0.000132156,0.000122482
0.000119046,0.000148779,0.000124115
0.000114622,0.000125703,0.000114811
0.000105305,0.000127255,0.000103488
0.000108416,0.000123517,0.000105908
0.000110984,0.000130275,0.000106989
0.000119154,0.000124677,0.00011728
0.000105981,0.000135412,0.000129437
0.000100652,0.000131344,0.000122707
0.000104341,0.000121881,0.000121857
0.000106637,0.000133435,0.000113284
0.000102126,0.000127872,0.000116003
0.0000958342,0.000126444,0.000112513
0.0000979175,0.000123538,0.000116092
0.0000974038,0.00012952,0.000116049
0.000095747,0.000132648,0.000111658
0.00010978,0.000127983,0.000116415
0.0000955618,0.00012377,0.000109288
0.0000964197,0.000135086,0.000115284
0.000100524,0.0001264,0.000111562
0.0000997238,0.000128019,0.000117228
0.000110638,0.00012627,0.000115242
0.000107067,0.000127254,0.000113863
0.000103541,0.000127556,0.000130952
0.00010905063,0.00013114023,0.00011685163
