put,del,get
0.000120928,0.000146129,0.00011936
0.000113625,0.000138875,0.000110423
0.000113792,0.000146481,0.000113865
0.000104413,0.000138208,0.00012007
0.000119257,0.000172671,0.000116177
0.000122823,0.000175724,0.000124433
0.000125026,0.000161696,0.000124156
0.000116917,0.000154672,0.000117601
0.000115511,0.000168031,0.00012975
0.000120687,0.000156016,0.000113096
0.000115501,0.000162501,0.000120214
0.000132422,0.000159279,0.00012323
0.000120217,0.000172113,0.000113662
0.000109072,0.000169246,0.000119073
0.000119778,0.000151434,0.000118914
0.000115175,0.000139751,0.000109686
0.000110977,0.000152677,0.000120097
0.00011721,0.000164019,0.000112883
0.000115836,0.000150845,0.000113665
0.000111432,0.000141548,0.000114245
0.000116437,0.000156651,0.000121014
0.000120425,0.000152708,0.000120091
0.000116881,0.000153411,0.000129491
0.000123678,0.000163111,0.000130614
0.000128546,0.000141319,0.000117901
0.000115692,0.000166601,0.000113719
0.000111465,0.000142582,0.000114907
0.000111881,0.000145169,0.000125761
0.00012507,0.000139826,0.000107606
0.000119179,0.000142441,0.000116149
0.000123776,0.000141425,0.000112559
0.000117651,0.000142255,0.000112051
0.0001323,0.00015511,0.000116357
0.000128171,0.000155065,0.000116572
0.000122463,0.000145245,0.000126233
0.000118255,0.000142046,0.000114276
0.000116851,0.000146124,0.000137108
0.000141109,0.000149331,0.000119579
0.000137775,0.000159192,0.000134886
0.000132526,0.000168277,0.000133882
0.000143221,0.000160765,0.00011986
0.000130873,0.000152212,0.000109013
0.000124216,0.000168626,0.000125797
0.000131283,0.00016244,0.000118087
0.000140952,0.000153227,0.000128535
0.000127246,0.000144401,0.000119817
0.000123703,0.000145725,0.000120474
0.00012071,0.000140304,0.000115832
0.000124546,0.000151614,0.000110399
0.00011934,0.000144029,0.00012187
0.000119908,0.00015791,0.000121452
0.000120386,0.000138316,0.00011073
0.000116394,0.000132687,0.000112911
0.000116117,0.000142519,0.000129823
0.000127747,0.000154535,0.000118821
0.000121151,0.000142887,0.000127007
0.000121387,0.000140687,0.000119887
0.000125146,0.000130269,0.0001277
0.000122082,0.000147301,0.000122834
0.000122234,0.000159645,0.000124563
0.00012614,0.00015168,0.000122139
0.0001207,0.000149119,0.000120301
0.000127128,0.000148821,0.000123104
0.000129337,0.00015194,0.000112438
0.000121954,0.000154939,0.000112789
0.000117786,0.000146622,0.000113065
0.00011688,0.000138116,0.000112578
0.000116846,0.000135615,0.000114565
0.000113161,0.000146309,0.000109756
0.000118166,0.000142069,0.000108768
0.000118108,0.000135862,0.000117802
0.000118325,0.000147773,0.000108615
0.000116144,0.0001384,0.000108227
0.000117941,0.000158004,0.000110691
0.000119326,0.000137633,0.000114804
0.000118748,0.000144534,0.000109292
0.00012333,0.000143211,0.000114465
0.00011687,0.000147815,0.000115248
0.000122396,0.000147843,0.000115793
0.000118609,0.000150896,0.000110361
0.000118755,0.000142614,0.000105462
0.000127384,0.000141794,0.000109357
0.000108808,0.000140684,0.000114537
0.000107799,0.000139944,0.000117714
0.000107087,0.000156352,0.000126984
0.000107273,0.000145716,0.000116162
0.000108916,0.000151714,0.000126181
0.000112281,0.000149088,0.000120126
0.000109247,0.000160414,0.000114246
0.000107474,0.000139138,0.000122279
0.000113877,0.000139021,0.000115901
0.000106459,0.00014761,0.000114815
0.000114736,0.000149542,0.000117908
0.000110657,0.000139952,0.000119168
0.000120918,0.000141629,0.000114305
0.000110668,0.000145543,0.000109206
0.000112025,0.000134655,0.000114987
0.000109896,0.00014094,0.000110018
0.00010949,0.00014135,0.000112519
0.000108083,0.000141371,0.000116698
